"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"Uppercase headlines on Breitbart and other media that back Donald J. Trump announced that most polls were wrong and pro-Clinton vote fraud was rampant.","https://www.nytimes.com/2016/11/09/business/media/breitbart-alt-right-coverage.html","Uppercase headlines on Breitbart and other media that back Donald J. Trump announced that most polls were wrong and pro-Clinton vote fraud was rampant.","The polls weren’t looking all that good, and the polls of polls were looking even worse. But in the early hours of Election Day, the prevailing mood among the coterie of popular websites, internet communities and social media users who support Donald J. Trump was electric.","P","14","The New York Times","2016-11-08T23:42:20+0000","article","National","Business Day","News","nyt://article/b04aa75c-8b05-55c0-a854-e9b7b28fdd81",966,"nyt://article/b04aa75c-8b05-55c0-a854-e9b7b28fdd81","Media","How the Pro-Trump Media Covered Election Day",NA,NA,"How the Pro-Trump Media Covered Election Day",NA,NA,NA,"By John Herrman and Sapna Maheshwari",NA
"American stocks rose in Wednesday trading, offering a respite from the wild ride in Europe and Asia.","https://www.nytimes.com/2016/11/10/business/dealbook/stock-markets-election.html","American stocks rose in Wednesday trading, offering a respite from the wild ride in Europe and Asia.","After a sharp sell-off overnight in Asia, markets staged a recovery on Wednesday as investors shook off the shock of a Donald J. Trump presidency and began to focus on whether his mix of policies could spur a still-fragile global economic recovery.","B","1","The New York Times","2016-11-09T02:48:35+0000","article","Business","Business Day","News","nyt://article/51fb2a3b-d792-5bc0-92c7-b454ea87308f",1248,"nyt://article/51fb2a3b-d792-5bc0-92c7-b454ea87308f","DealBook","Why Stock Markets, Initially Shaken, Went Up After Trump’s Victory",NA,NA,"Initially Shaken, Shares Recover",NA,NA,NA,"By Landon Thomas Jr",NA
"Based on exit polls, the 2016 presidential election seems to have dramatically redefined how certain demographic groups vote.","https://www.nytimes.com/interactive/2016/11/08/us/elections/exit-poll-analysis.html","Based on exit polls, the 2016 presidential election seems to have dramatically redefined how certain demographic groups vote.","Based on exit polls, the 2016 presidential election seems to have dramatically redefined how certain demographic groups vote.",NA,NA,"The New York Times","2016-11-09T04:17:51+0000","multimedia","U.S.","U.S.","Interactive Feature","nyt://interactive/eb778687-b853-5c53-95fe-5198247431a7",0,"nyt://interactive/eb778687-b853-5c53-95fe-5198247431a7","Elections","How Trump Won the Election According to Exit Polls",NA,NA,"",NA,NA,NA,"By K.K. REBECCA LAI, ALICIA PARLAPIANO, JEREMY WHITE and KAREN YOURISH",NA
"Thomas E. Dewey conceded to President Franklin Delano Roosevelt. At the Hotel Roosevelt.","https://www.nytimes.com/2016/11/09/us/politics/1944-election-night-new-york.html","Thomas E. Dewey conceded to President Franklin Delano Roosevelt. At the Hotel Roosevelt.","The last election night that two New Yorkers duked it out for the presidency, a guy named Dewey set up camp at a hotel named Roosevelt.",NA,NA,"The New York Times","2016-11-09T04:37:37+0000","article","National","U.S.","News","nyt://article/706ab045-c887-5ce1-a631-856b850e7a96",317,"nyt://article/706ab045-c887-5ce1-a631-856b850e7a96","Politics","Echoes of 1944: Trump and Clinton in New York to Await Results",NA,NA,"",NA,NA,NA,"By Niraj Chokshi",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/09/briefing/europe-briefing.html","Here’s what you need to know to start your day.","Good morning.",NA,NA,"The New York Times","2016-11-09T05:02:44+0000","article","NYTNow","Briefing","briefing","nyt://article/9f59c3ca-a9a1-581b-b986-9fb9c71d0e53",1123,"nyt://article/9f59c3ca-a9a1-581b-b986-9fb9c71d0e53",NA,"Donald Trump, Republican Party, Aleppo: Your Wednesday Briefing",NA,NA,"",NA,NA,NA,"By Patrick Boehler",NA
"Markets had priced in a Hillary Clinton victory, but a furious reversal took place when that looked unlikely.","https://www.nytimes.com/2016/11/09/upshot/global-markets-plummet-on-rising-odds-of-trump-victory.html","Markets had priced in a Hillary Clinton victory, but a furious reversal took place when that looked unlikely.","Donald J. Trump’s surprisingly strong showing in the presidential race is throwing global financial markets into disarray.",NA,NA,"The New York Times","2016-11-09T05:03:15+0000","article","Upshot","The Upshot","News","nyt://article/269c2825-c9ed-5808-9581-6a3fd86e1fda",513,"nyt://article/269c2825-c9ed-5808-9581-6a3fd86e1fda",NA,"Global Markets Plummet on Rising Odds of Trump Victory","Global Shock",NA,"",NA,NA,NA,"By Neil Irwin",NA
"After a stunning upset in the American presidential election, nations braced for the possibility of an upending of the global order.","https://www.nytimes.com/2016/11/09/world/europe/global-reaction-us-presidential-election-donald-trump.html","After a stunning upset in the American presidential election, nations braced for the possibility of an upending of the global order.","The election of Donald J. Trump as president of the United States has shocked the world — and has the potential to reshape it.",NA,NA,"The New York Times","2016-11-09T06:35:17+0000","article","Foreign","World","News","nyt://article/e0a5a53b-4cb2-5a6e-abee-a7aa85beab60",2703,"nyt://article/e0a5a53b-4cb2-5a6e-abee-a7aa85beab60","Europe","Across the World, Shock and Uncertainty at Trump’s Victory",NA,NA,"",NA,NA,NA,"By The New York Times","The New York Times"
"Democrats appear to have picked up two seats, enough to render the Senate fiercely and narrowly divided but leaving them in the minority.","https://www.nytimes.com/2016/11/09/us/politics/republican-senate.html","Democrats appear to have picked up two seats, enough to render the Senate fiercely and narrowly divided but leaving them in the minority.","Republicans maintained control of the Senate on Tuesday, fending off numerous Democratic challengers who polls showed were leading going into Election Day, as incumbents were pulled along by Donald J. Trump’s unanticipated strength in several key battleground states.","P","10","The New York Times","2016-11-09T07:16:10+0000","article","National","U.S.","News","nyt://article/6b678438-f0b0-58dd-aaaa-d170549426c4",1157,"nyt://article/6b678438-f0b0-58dd-aaaa-d170549426c4","Politics","Republicans, Buoyed by Trump’s Performance, Keep Control of Senate",NA,NA,"Republicans, Buoyed by Trump’s Performance, Keep Control of Senate",NA,NA,NA,"By Jennifer Steinhauer",NA
"There are crucial lessons in the 2016 race’s cruel turn.","https://www.nytimes.com/2016/11/09/opinion/donald-trumps-shocking-success.html","There are crucial lessons in the 2016 race’s cruel turn.","Just days ago I was in Ohio. I was talking to Republicans, and this was the refrain I kept hearing: Donald Trump is throwing this election away. He has no real campaign here. No get-out-the-vote operation. No ground game. Nothing that signifies or befits a truly serious presidential candidate.","A","27","The New York Times","2016-11-09T07:16:23+0000","article","OpEd","Opinion","Op-Ed","nyt://article/d711eec5-b9b6-52bd-8c51-8bfda6dfb30e",914,"nyt://article/d711eec5-b9b6-52bd-8c51-8bfda6dfb30e",NA,"Donald Trump’s Shocking Success","Op-Ed Columnist",NA,"Trump’s Alarming Success",NA,NA,NA,"By Frank Bruni",NA
"His surprise victory ended an erratic and grievance-filled campaign that took direct aim at his own party and long-held ideals of American democracy.","https://www.nytimes.com/2016/11/09/us/politics/hillary-clinton-donald-trump-president.html","His surprise victory ended an erratic and grievance-filled campaign that took direct aim at his own party and long-held ideals of American democracy.","Donald John Trump was elected the 45th president of the United States on Tuesday in a stunning culmination of an explosive, populist and polarizing campaign that took relentless aim at the institutions and long-held ideals of American democracy.","A","1","The New York Times","2016-11-09T07:28:24+0000","article","National","U.S.","News","nyt://article/ea16ce76-d4e5-5902-9584-854ddc7a5948",1613,"nyt://article/ea16ce76-d4e5-5902-9584-854ddc7a5948","Politics","Donald Trump Is Elected President in Stunning Repudiation of the Establishment",NA,NA,"Trump Triumphs",NA,NA,NA,"By Matt Flegenheimer and Michael Barbaro",NA
"Since Donald J. Trump announced his candidacy in June 2015, he has tried to rally the Republican Party behind him.","https://www.nytimes.com/slideshow/2016/11/09/us/politics/looking-back-on-donald-j-trumps-campaign.html","Since Donald J. Trump announced his candidacy in June 2015, he has tried to rally the Republican Party behind him.","Since Donald J. Trump announced his candidacy in June 2015, he has tried to rally the Republican Party behind him.",NA,NA,"The New York Times","2016-11-09T07:45:20+0000","multimedia","U.S.","U.S.","Slideshow","nyt://slideshow/285b20ff-035a-528c-bcac-d788ab928ebf",0,"nyt://slideshow/285b20ff-035a-528c-bcac-d788ab928ebf","Politics","Looking Back on Donald J. Trump’s Campaign",NA,NA,"",NA,NA,NA,"",NA
"For the first time since World War II, Americans choose a president who pledged to reverse the internationalism practiced by both parties.","https://www.nytimes.com/2016/11/09/world/donald-trumps-victory-promises-to-upend-the-international-order.html","For the first time since World War II, Americans choose a president who pledged to reverse the internationalism practiced by both parties.","JERUSALEM — Donald J. Trump’s stunning election victory on Tuesday night rippled way beyond the nation’s boundaries, upending an international order that prevailed for decades and raising profound questions about America’s place in the world.","A","1","The New York Times","2016-11-09T07:53:34+0000","article","National","World","News Analysis","nyt://article/f5fdabe9-101d-5fd8-bfc9-76748dc2bf3f",1547,"nyt://article/f5fdabe9-101d-5fd8-bfc9-76748dc2bf3f",NA,"Donald Trump’s Victory Promises to Upend the International Order","News Analysis",NA,"Around the World, Uncertainty and Fear That ‘All Bets Are Off’  ",NA,NA,NA,"By Peter Baker",NA
"Mr. Trump upended the G.O.P. and now the Democratic Party, and America’s fierce and heedless desire for change now puts the nation on a precipice.","https://www.nytimes.com/2016/11/09/opinion/donald-trumps-revolt.html","Mr. Trump upended the G.O.P. and now the Democratic Party, and America’s fierce and heedless desire for change now puts the nation on a precipice.","President Donald Trump. Three words that were unthinkable to tens of millions of Americans — and much of the rest of the world — have now become the future of the United States.","A","26","The New York Times","2016-11-09T07:54:21+0000","article","Editorial","Opinion","Editorial","nyt://article/5fdad70d-d347-5260-863c-0f7e52d4c700",596,"nyt://article/5fdad70d-d347-5260-863c-0f7e52d4c700",NA,"Donald Trump’s Revolt","Editorial",NA,"The Trump Revolt",NA,NA,NA,"",NA
"From New York real estate to casinos to reality television, Mr. Trump’s career has kept him in the spotlight for years.","https://www.nytimes.com/slideshow/2016/11/09/us/politics/donald-trumps-career-path.html","From New York real estate to casinos to reality television, Mr. Trump’s career has kept him in the spotlight for years.","From New York real estate to casinos to reality television, Mr. Trump’s career has kept him in the spotlight for years.",NA,NA,"The New York Times","2016-11-09T08:18:12+0000","multimedia","U.S.","U.S.","Slideshow","nyt://slideshow/8da7fc3d-64ca-5978-bd99-b02cff52347e",0,"nyt://slideshow/8da7fc3d-64ca-5978-bd99-b02cff52347e","Politics","Donald Trump’s Career Path",NA,NA,"",NA,NA,NA,"",NA
"Often met with scoffing disdain by wealthy elites and mainstream civic leaders, Mr. Trump delivered perhaps the greatest shock to the American political system in modern times.","https://www.nytimes.com/2016/11/09/us/politics/donald-trump-wins.html","Often met with scoffing disdain by wealthy elites and mainstream civic leaders, Mr. Trump delivered perhaps the greatest shock to the American political system in modern times.","Donald John Trump defied the skeptics who said he would never run, and the political veterans who scoffed at his slapdash campaign.","A","1","The New York Times","2016-11-09T08:18:16+0000","article","National","U.S.","News","nyt://article/1e95dc9d-a45b-5af9-b803-ec0113250eb5",1288,"nyt://article/1e95dc9d-a45b-5af9-b803-ec0113250eb5","Politics","Donald Trump Rode to Power in the Role of the Common Man","Man in the News",NA," Clarion of White Populist Rage Who Vowed ‘I Am Your Voice’",NA,NA,NA,"By Alexander Burns",NA
"Hillary Clinton’s polling leads were consistent and long-lasting, but none of it mattered.","https://www.nytimes.com/2016/11/10/upshot/why-trump-won-working-class-whites.html","Hillary Clinton’s polling leads were consistent and long-lasting, but none of it mattered.","Donald J. Trump won the presidency by riding an enormous wave of support among white working-class voters.",NA,NA,"The New York Times","2016-11-09T08:27:10+0000","article","Upshot","The Upshot","News","nyt://article/2a6a35d0-8284-57e0-8246-5964024f7cc3",977,"nyt://article/2a6a35d0-8284-57e0-8246-5964024f7cc3",NA,"Why Trump Won: Working-Class Whites","The 2016 Race",NA,"",NA,NA,NA,"By Nate Cohn",NA
"Donald J. Trump made good on his strategy of stoking the enthusiasm of white voters to defeat Hillary Clinton.","https://www.nytimes.com/interactive/2016/11/08/us/elections/how-trump-pushed-the-election-map-to-the-right.html","Donald J. Trump made good on his strategy of stoking the enthusiasm of white voters to defeat Hillary Clinton.","Donald J. Trump made good on his strategy of stoking the enthusiasm of white voters to defeat Hillary Clinton.",NA,NA,"The New York Times","2016-11-09T09:14:55+0000","multimedia","U.S.","U.S.","Interactive Feature","nyt://interactive/730f4318-4a99-5464-839a-74c046d6a06b",0,"nyt://interactive/730f4318-4a99-5464-839a-74c046d6a06b","Elections","How Trump Reshaped the Election Map",NA,NA,"",NA,NA,NA,"",NA
"For many Mexicans, the election of Donald J. Trump is a harbinger for hard days to come for the country, its economy and even its state of mind.","https://www.nytimes.com/2016/11/10/world/americas/mexico-donald-trump-peso.html","For many Mexicans, the election of Donald J. Trump is a harbinger for hard days to come for the country, its economy and even its state of mind.","MEXICO CITY — For Mexico, the nightmare came true.","P","18","The New York Times","2016-11-09T09:28:13+0000","article","National","World","News","nyt://article/9d3f9beb-74f1-5b34-9ab9-8f6d911efc47",1409,"nyt://article/9d3f9beb-74f1-5b34-9ab9-8f6d911efc47","Americas","Mexico Braces for the Fallout of a Trump Presidency",NA,NA,"Mexico, With Big Stake in Vote, Now Braces for the Fallout",NA,NA,NA,"By Azam Ahmed, Kirk Semple and Paulina Villegas",NA
"Since Donald J. Trump announced his candidacy in June 2015, he has tried to rally the Republican Party behind him.","https://www.nytimes.com/slideshow/2016/11/09/us/elections/looking-back-on-donald-j-trumps-campaign.html","Since Donald J. Trump announced his candidacy in June 2015, he has tried to rally the Republican Party behind him.","Since Donald J. Trump announced his candidacy in June 2015, he has tried to rally the Republican Party behind him.",NA,NA,"The New York Times","2016-11-09T09:56:20+0000","multimedia","U.S.","U.S.","Slideshow","nyt://slideshow/7db0070b-de16-55a4-ad27-3332286ae646",0,"nyt://slideshow/7db0070b-de16-55a4-ad27-3332286ae646","Elections","Looking Back on Donald J. Trump’s Campaign",NA,NA,"",NA,NA,NA,"",NA
"Donald J. Trump addressed supporters at a hotel in New York early Wednesday.","https://www.nytimes.com/2016/11/10/us/politics/trump-speech-transcript.html","Donald J. Trump addressed supporters at a hotel in New York early Wednesday.","Following is a transcript of Donald J. Trump’s victory speech, as compiled by Federal News Services.",NA,NA,"The New York Times","2016-11-09T09:58:20+0000","article","National","U.S.","Text","nyt://article/9fb8d6f9-1920-5b55-b4d2-8f8b2935619b",1803,"nyt://article/9fb8d6f9-1920-5b55-b4d2-8f8b2935619b","Politics","Transcript: Donald Trump’s Victory Speech",NA,NA,"",NA,NA,NA,"",NA
"Both campaigns held election night events in Manhattan, just a mile apart, and there were signs between them of the America that the president-elect will inherit.","https://www.nytimes.com/2016/11/10/nyregion/donald-trump-hillary-clinton-new-york.html","Both campaigns held election night events in Manhattan, just a mile apart, and there were signs between them of the America that the president-elect will inherit.","Just one mile. That was all.","A","17","The New York Times","2016-11-09T10:00:39+0000","article","Metro","New York","News","nyt://article/3c1937bd-ecb3-5de7-8381-e37fee2bc268",1225,"nyt://article/3c1937bd-ecb3-5de7-8381-e37fee2bc268",NA,"At the End, Divide Between Clinton and Trump Is Only a Mile",NA,NA,"At the End, Divide Between Clinton and Trump Is Only a Manhattan Mile",NA,NA,NA,"By Dan Barry",NA
"Women across the United States voted for Hillary Clinton in hopes of elevating the first woman to the presidency. They were later met with disappointment when Donald J. Trump triumphed instead.","https://www.nytimes.com/video/us/politics/100000004757749/women-express-surprise-at-trump-win.html","Women across the United States voted for Hillary Clinton in hopes of elevating the first woman to the presidency. They were later met with disappointment when Donald J. Trump triumphed instead.","Women across the United States voted for Hillary Clinton in hopes of elevating the first woman to the presidency. They were later met with disappointment when Donald J. Trump triumphed instead.",NA,NA,"The New York Times","2016-11-09T10:04:47+0000","multimedia","","U.S.","Video","nyt://video/48b84e93-7a19-5a83-9c65-87f004e70b0f",0,"nyt://video/48b84e93-7a19-5a83-9c65-87f004e70b0f","Politics","Women Express Surprise at Trump Win",NA,NA,"",NA,NA,NA,"By Yara Bishara",NA
"As Donald J. Trump began to solidify his path to the presidency on Tuesday night, international markets fell sharply. Wall Street was expected to react similarly, but was up on Wednesday.","https://www.nytimes.com/interactive/2016/11/09/business/markets-reaction-election.html","As Donald J. Trump began to solidify his path to the presidency on Tuesday night, international markets fell sharply. Wall Street was expected to react similarly, but was up on Wednesday.","As Donald J. Trump began to solidify his path to the presidency on Tuesday night, international markets fell sharply. Wall Street was expected to react similarly, but was up on Wednesday.",NA,NA,"The New York Times","2016-11-09T10:33:22+0000","multimedia","Business Day","Business Day","Interactive Feature","nyt://interactive/85167fc3-abdd-57a0-b1c3-775e82f586a0",0,"nyt://interactive/85167fc3-abdd-57a0-b1c3-775e82f586a0",NA,"How the Markets Reacted to Trump’s Stunning Upset",NA,NA,"",NA,NA,NA,"By JUGAL K. PATEL, KARL RUSSELL and AARON KROLIK",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/09/briefing/us-briefing-donald-trump-hillary-clinton-us-senate.html","Here’s what you need to know to start your day."," (Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-09T10:48:25+0000","article","NYTNow","Briefing","briefing","nyt://article/226a43cc-6ce9-5ab6-a6f7-8a428c32367b",1037,"nyt://article/226a43cc-6ce9-5ab6-a6f7-8a428c32367b",NA,"Donald Trump, Hillary Clinton, U.S. Senate: Your Wednesday Briefing",NA,NA,"",NA,NA,NA,"By Sean Alfano",NA
"The uncertainty created by the result has propped up gold and the yen, both safe haven assets.","https://www.nytimes.com/2016/11/10/business/dealbook/trump-clinton-election-vote.html","The uncertainty created by the result has propped up gold and the yen, both safe haven assets.","Donald John Trump has been elected the 45th president of the United States.",NA,NA,"The New York Times","2016-11-09T11:02:35+0000","article","Business","Business Day","News","nyt://article/1ced3f80-d9e6-5b26-8b5a-3a6e4e6c0ad0",400,"nyt://article/1ced3f80-d9e6-5b26-8b5a-3a6e4e6c0ad0","DealBook","Morning Agenda: Trump Triumphs and Global Markets Plummet",NA,NA,"",NA,NA,NA,"By Amie Tsang",NA
"He had an intuition about American anger. The country’s liberal elites were too arrogant to take him seriously.","https://www.nytimes.com/2016/11/10/opinion/president-donald-trump.html","He had an intuition about American anger. The country’s liberal elites were too arrogant to take him seriously.","President Donald Trump. Get used to it. The world as we knew it is no more.","A","14","The New York Times","2016-11-09T11:05:42+0000","article","OpEd","Opinion","Op-Ed","nyt://article/c6905c70-fefa-5658-8bd3-5c63b0d0c2fe",830,"nyt://article/c6905c70-fefa-5658-8bd3-5c63b0d0c2fe",NA,"President Donald Trump","Op-Ed Columnist",NA,"President Donald Trump",NA,NA,NA,"By Roger Cohen",NA
"Stand among Donald J. Trump's supporters at the New York Hilton as the president-elect takes the stage.","https://www.nytimes.com/video/us/elections/100000004740369/inside-the-trump-victory-party.html","Stand among Donald J. Trump's supporters at the New York Hilton as the president-elect takes the stage.","Stand among Donald J. Trump's supporters at the New York Hilton as the president-elect takes the stage.",NA,NA,"The New York Times","2016-11-09T11:26:48+0000","multimedia","","U.S.","Video","nyt://video/8111d9dc-3d37-51e5-8a8c-235a96ba318b",0,"nyt://video/8111d9dc-3d37-51e5-8a8c-235a96ba318b","Elections","Inside the Trump Victory Party",NA,NA,"",NA,NA,NA,"By MARGARET CHEATHAM WILLIAMS, KAITLYN MULLIN and EMMA COTT",NA
"What is your reaction to the election of Donald J. Trump as the 45th president of the United States?","https://www.nytimes.com/2016/11/09/learning/questions-for-donald-trump-is-elected-president-in-stunning-repudiation-of-the-establishment.html","What is your reaction to the election of Donald J. Trump as the 45th president of the United States?","Article: “Donald Trump Is Elected President in Stunning Repudiation of the Establishment”",NA,NA,"The New York Times","2016-11-09T12:05:41+0000","article","Learning","The Learning Network","News","nyt://article/27f09378-541c-5a0f-9fcc-7cae0b557cf0",436,"nyt://article/27f09378-541c-5a0f-9fcc-7cae0b557cf0",NA,"Questions for: “Donald Trump Is Elected President in Stunning Repudiation of the Establishment”","Article of the Day",NA,"",NA,NA,NA,"By Michael Gonchar",NA
"The chairman of the company that is building the Trump Tower in metropolitan Manila will be the special envoy for trade, investment and economic affairs.","https://www.nytimes.com/2016/11/10/world/asia/donald-trump-philippines-jose-antonio.html","The chairman of the company that is building the Trump Tower in metropolitan Manila will be the special envoy for trade, investment and economic affairs.","BANGKOK — The timing of President Rodrigo Duterte of the Philippines couldn’t be better. Before Donald J. Trump’s election victory, the Philippine leader had already named Mr. Trump’s business partner in Manila as a special envoy to the United States.","A","3","The New York Times","2016-11-09T12:22:21+0000","article","Foreign","World","News","nyt://article/18749f0e-c6cd-5b46-a453-14eb01947732",420,"nyt://article/18749f0e-c6cd-5b46-a453-14eb01947732","Asia Pacific","Trump Business Partner Is Philippines’ New Trade Envoy to U.S.",NA,NA,"Trump Partner Is Philippines’ New Trade Envoy to U.S.",NA,NA,NA,"By Richard C. Paddock",NA
"The president-elect has tapped into a sense of alienation and loss of status among poorer white voters, a sentiment that exists in other countries, too.","https://www.nytimes.com/2016/11/10/world/americas/trump-white-populism-europe-united-states.html","The president-elect has tapped into a sense of alienation and loss of status among poorer white voters, a sentiment that exists in other countries, too.","It will take weeks or months to fully parse Donald J. Trump’s upset presidential victory, but his campaign was driven, at least in part, by the dramatic rise of a new kind of white populism.",NA,NA,"The New York Times","2016-11-09T12:30:06+0000","article","Foreign","World","News","nyt://article/24d87dd2-14ab-571d-af94-95352ccf7312",1148,"nyt://article/24d87dd2-14ab-571d-af94-95352ccf7312","Americas","Trump’s Victory and the Rise of White Populism","The Interpreter",NA,"",NA,NA,NA,"By Amanda Taub",NA
"World leaders and policy experts are unable to deduce a coherent worldview from the president-elect’s often conflicting pronouncements.","https://www.nytimes.com/2016/11/10/world/americas/donald-trump-foreign-policy.html","World leaders and policy experts are unable to deduce a coherent worldview from the president-elect’s often conflicting pronouncements.","Whether or not Donald J. Trump follows through on his campaign pledges to diminish or possibly abandon American commitments to security alliances such as NATO, his election victory forces nations around the world to begin preparing for the day they can no longer count on the American-backed order.","P","17","The New York Times","2016-11-09T12:49:08+0000","article","National","World","News","nyt://article/52030e04-cfb9-51a4-888e-52077fb2f631",918,"nyt://article/52030e04-cfb9-51a4-888e-52077fb2f631",NA,"Uncertainty Over Donald Trump’s Foreign Policy Risks Global Instability","The Interpreter",NA,"Uncertainty Over Trump’s Foreign Policy Could Lead to Global Instability",NA,NA,NA,"By Max Fisher",NA
"Donald J. Trump has had harsh words for China and other nations, but the question for the region now is how much of that rhetoric he will act on.","https://www.nytimes.com/2016/11/10/world/asia/trump-president-asia-china-japan.html","Donald J. Trump has had harsh words for China and other nations, but the question for the region now is how much of that rhetoric he will act on.","HONG KONG — For more than half a century, Asia has benefited from an American commitment to free trade and bilateral alliances in the region. But the election of Donald J. Trump left both statesmen and citizens here asking whether that commitment — and the prolonged era of peace and prosperity that has accompanied it — might be coming to an end.",NA,NA,"The New York Times","2016-11-09T13:03:50+0000","article","Foreign","World","News","nyt://article/b61bcabe-e951-5439-b579-639173c881c0",1119,"nyt://article/b61bcabe-e951-5439-b579-639173c881c0","Asia Pacific","Asia, a Target of Trump’s Criticism, Greets His Election With Caution",NA,NA,"",NA,NA,NA,"By Keith Bradsher",NA
"The currency, which for investors has been a proxy for Donald J. Trump’s presidential prospects, hit a record low against the dollar.","https://www.nytimes.com/2016/11/10/business/dealbook/mexico-peso-dollar-election-trump.html","The currency, which for investors has been a proxy for Donald J. Trump’s presidential prospects, hit a record low against the dollar.","The Mexican peso, which for investors has been a proxy for Donald J. Trump’s presidential prospects, took a beating early Wednesday in the wake of Mr. Trump’s victory.",NA,NA,"The New York Times","2016-11-09T13:10:33+0000","article","Business","Business Day","News","nyt://article/96877d1a-17bc-5b1c-a7aa-569b62f1a167",407,"nyt://article/96877d1a-17bc-5b1c-a7aa-569b62f1a167","DealBook","Mexican Peso Sinks as Donald Trump Secures Victory",NA,NA,"",NA,NA,NA,"By Elinor Comlay",NA
"Wednesday: Disbelief over the election of Donald J. Trump, Kamala Harris is sent to the U.S. Senate, and voters choose to legalize recreational pot.","https://www.nytimes.com/2016/11/09/us/california-today-trump-president-kamala-harris-election.html","Wednesday: Disbelief over the election of Donald J. Trump, Kamala Harris is sent to the U.S. Senate, and voters choose to legalize recreational pot.","Good morning.",NA,NA,"The New York Times","2016-11-09T13:17:11+0000","article","National","U.S.","briefing","nyt://article/0cca7b2f-cb08-5222-bc29-27a837b55e6c",1267,"nyt://article/0cca7b2f-cb08-5222-bc29-27a837b55e6c",NA,"California Today: With Trump’s Rise, a Return to the ‘Rebel State’","California Today",NA,"",NA,NA,NA,"By Mike McPhate",NA
"Protesters angered by the election of Donald J. Trump gathered in cities across the nation, some chanting “Not my president.”","https://www.nytimes.com/2016/11/10/us/trump-election-protest-berkeley-oakland.html","Protesters angered by the election of Donald J. Trump gathered in cities across the nation, some chanting “Not my president.”","BERKELEY, Calif. — Chanting “Not my president,” several hundred protesters streamed through the streets of Berkeley and Oakland in the predawn hours of Wednesday venting their anger at the election of Donald J. Trump as president. Demonstrations were also reported in Pittsburgh, Seattle and Portland, Ore.",NA,NA,"The New York Times","2016-11-09T13:25:47+0000","article","National","U.S.","News","nyt://article/060fdd4c-cc55-578a-934c-b5914c2c7f54",555,"nyt://article/060fdd4c-cc55-578a-934c-b5914c2c7f54",NA,"Anti-Trump Demonstrators Take to the Streets in Several U.S. Cities",NA,NA,"",NA,NA,NA,"By Thomas Fuller",NA
"Sampling reaction to the election of Mr. Trump, which has left half the country cheering and the other half in shock.","https://www.nytimes.com/2016/11/10/opinion/americas-decision-president-elect-donald-trump.html","Sampling reaction to the election of Mr. Trump, which has left half the country cheering and the other half in shock.","To the Editor:","A","22","The New York Times","2016-11-09T13:30:59+0000","article","Letters","Opinion","Letter","nyt://article/a2d1c8a7-2ab4-50c6-897b-575ba3f37fd1",980,"nyt://article/a2d1c8a7-2ab4-50c6-897b-575ba3f37fd1",NA,"An America Under President Donald Trump","Letters",NA,"An America Under President Trump",NA,NA,NA,"",NA
"A blue-collar bastion that was a former Democratic stronghold vents its anger against Hillary Clinton and a changed world.","https://www.nytimes.com/2016/11/09/us/politics/pennslyvannia-town-vote-trump.html","A blue-collar bastion that was a former Democratic stronghold vents its anger against Hillary Clinton and a changed world.","AMBRIDGE, Pa. — As the inevitability of Donald J. Trump’s victory played out Tuesday night on a television above Fred’s Divot bar, the men who by day carry pipes, hang drywall and drive locomotives watched the returns with mounting satisfaction.","A","1","The New York Times","2016-11-09T14:22:32+0000","article","National","U.S.","News","nyt://article/7c0f09bb-b457-5c24-9bee-265376a68b0d",996,"nyt://article/7c0f09bb-b457-5c24-9bee-265376a68b0d","Politics","A Pennsylvania Town in Decline and Despair Looks to Donald Trump","Ambridge Journal",NA,"A Blue-Collar Town in Decline and in Despair Turns to Trump",NA,NA,NA,"By Trip Gabriel",NA
"If President-elect Donald J. Trump’s campaign promises become reality, the United States may undergo a fundamental change in direction.","https://www.nytimes.com/2016/11/10/us/politics/donald-trump-presidential-agenda.html","If President-elect Donald J. Trump’s campaign promises become reality, the United States may undergo a fundamental change in direction.","WASHINGTON — A Trump presidency will plunge the United States into an era of unknowns that has little parallel in the nation’s 240-year history.",NA,NA,"The New York Times","2016-11-09T15:22:50+0000","article","National","U.S.","News Analysis","nyt://article/9aa464f7-2843-531d-ad45-905b49b773c3",1559,"nyt://article/9aa464f7-2843-531d-ad45-905b49b773c3","Politics","‘Strange New Land’: America in a Time of Trump","News Analysis",NA,"",NA,NA,NA,"By David E. Sanger",NA
